"bucket","mid_depth","ksat"
"A",55,9.18400833741305e-06
"A",65,9.64777807090702e-06
"A",75,0.000117685486249315
"A",85,2.86353076107919e-05
"A",95,3.8442227526033e-05
"A",105,8.85767975670533e-06
"A",115,2.63227757320769e-06
"A",125,2.99775780690871e-06
"A",135,5.19686370491576e-06
"A",145,6.92783376510608e-06
"A",155,2.85836488936377e-06
"A",165,7.69917336217046e-07
"A",175,5.20687196521326e-07
"A",185,3.23322103418638e-07
"B",65,9.40505693836432e-06
"B",75,8.44963198995706e-06
"B",85,2.44328613234946e-05
"B",105,7.6851243187182e-06
"B",115,4.64570294328401e-06
"B",125,2.97582288772533e-06
"B",135,3.89015501602011e-06
"B",145,4.12731939477593e-06
"B",155,3.79174011641892e-06
"B",165,3.90675133704219e-06
"B",175,1.22813548163086e-06
"B",185,1.28872786154179e-06
"B",195,1.10207625347702e-06
"C",65,2.09535990650752e-05
"C",75,1.58637197380291e-05
"C",85,1.452299611914e-05
"C",95,4.36740730997628e-06
"C",105,8.78910918075432e-06
"C",115,4.1153913630369e-06
"C",125,4.37349370339695e-06
"C",135,2.59518768613992e-06
"C",145,2.0620142951165e-06
"C",155,1.49837038910774e-06
"C",165,5.7485140815594e-07
"C",185,8.70856453828095e-07
"C",195,2.81933408024723e-07
"D",65,4.6123107886133e-06
"D",75,6.51953752079944e-06
"D",85,3.42167757553957e-06
"D",95,3.10628432059554e-06
"D",105,1.28452121382726e-06
"D",115,4.27957993888093e-06
"D",125,1.74218466051771e-06
"D",135,7.58759592435873e-07
"D",145,4.92090586722522e-07
"D",155,5.0457251779712e-07
"D",165,2.24273271542185e-07
"D",175,1.91607227042464e-08
"E",65,3.30474471806581e-05
"E",75,1.10626857969962e-05
"E",85,3.51325353495256e-06
"E",95,2.44791529683731e-06
"E",105,1.58466293603935e-06
"E",115,5.98365939103853e-06
"E",125,1.49695167961717e-07
"E",135,1.89546285592297e-07
"E",145,1.29750128151132e-07
"E",155,1.91480322369357e-07
"E",165,2.91069911685552e-08
"E",175,1.55713956402061e-08
